Name,NetWorth,Country,Source,Rank,Age,Industry
Scott Farquhar,14.0,Australia,software,150,41.0,Technology
Finn Rausing,13.9,Sweden,packaging,151,66.0,Food & Beverage
Jorn Rausing,13.9,Sweden,packaging,151,61.0,Food & Beverage
Kirsten Rausing,13.9,Sweden,packaging,151,68.0,Food & Beverage
Brian Chesky,13.7,United States,Airbnb,154,39.0,Technology
Joseph Lau,13.6,Hong Kong,real estate,155,69.0,Real Estate
David Duffield,13.5,United States,business software,156,80.0,Technology
Charoen Sirivadhanabhakdi,13.5,Thailand,"alcohol, real estate",156,76.0,Food & Beverage
Kim Jung-ju,13.3,South Korea,online games,158,53.0,Technology
Robert & Philip Ng,13.3,Singapore,real estate,158,69.0,Real Estate
Zhang Bangxin,13.3,China,education,158,41.0,Service
Anders Holch Povlsen,13.2,Denmark,fashion retail,161,48.0,Fashion & Retail
Wang Wenyin,13.2,China,"mining, copper products",161,53.0,Metals & Mining
Wang Liping & family,13.1,China,hydraulic machinery,163,55.0,Manufacturing
Tatyana Bakalchuk,13.0,Russia,ecommerce,164,45.0,Fashion & Retail
Michael Platt,13.0,United Kingdom,hedge funds,164,53.0,Finance & Investments
Huang Shilin,12.9,China,batteries,166,54.0,Energy
Ricardo Salinas Pliego & family,12.9,Mexico,"retail, media",166,65.0,Fashion & Retail
Kumar Birla,12.8,India,commodities,168,53.0,Diversified
Dang Yanbao,12.7,China,coal,169,48.0,Metals & Mining
Cyrus Poonawalla,12.7,India,vaccines,169,79.0,Healthcare
Robert Kuok,12.6,Malaysia,"palm oil, shipping, property",171,97.0,Diversified
Hank & Doug Meijer,12.6,United States,supermarkets,171,66.0,Fashion & Retail
Jack Dorsey,12.5,United States,"Twitter, Square",173,44.0,Technology
Lu Zhongfang,12.5,China,education,173,78.0,Automotive
Ma Jianrong & family,12.5,China,"textiles, apparel",173,57.0,Fashion & Retail
Zhang Tao,12.5,China,e-commerce,173,48.0,Fashion & Retail
Nathan Blecharczyk,12.4,United States,Airbnb,177,37.0,Technology
John Doerr,12.4,United States,venture capital,177,69.0,Technology
Joe Gebbia,12.4,United States,Airbnb,177,39.0,Technology
Forrest Li,12.4,Singapore,gaming,177,43.0,Media & Entertainment
Yu Renrong,12.3,China,semiconductors,181,55.0,Manufacturing
Liu Yonghao & family,12.1,China,agribusiness,182,69.0,Service
Gordon Moore,12.1,United States,Intel,182,92.0,Technology
Jeff Yass,12.0,United States,"trading, investments",184,62.0,Finance & Investments
Bobby Murphy,11.9,United States,Snapchat,185,32.0,Technology
Patrick Drahi,11.8,France,telecom,186,57.0,Telecom
Jensen Huang,11.8,United States,semiconductors,186,58.0,Technology
Alexander Otto,11.8,Germany,real estate,186,53.0,Real Estate
Cen Junda,11.6,China,pharmaceuticals,189,56.0,Healthcare
Joseph Tsai,11.6,Canada,e-commerce,189,57.0,Technology
Aliko Dangote,11.5,Nigeria,"cement, sugar",191,63.0,Manufacturing
Marcel Herrmann Telles,11.5,Brazil,beer,191,71.0,Food & Beverage
Mikhail Prokhorov,11.4,Russia,investments,193,55.0,Finance & Investments
Jorge Moll Filho & family,11.3,Brazil,hospitals,194,76.0,Healthcare
Viktor Rashnikov,11.2,Russia,steel,195,72.0,Manufacturing
Harry Triguboff,11.2,Australia,real estate,195,88.0,Real Estate
Leonid Fedun & family,11.1,Russia,oil,197,65.0,Energy
Eyal Ofer,11.1,Israel,"real estate, shipping",197,70.0,Diversified
Evan Spiegel,11.1,United States,Snapchat,197,30.0,Technology
Luis Carlos Sarmiento,11.0,Colombia,banking,200,88.0,Finance & Investments
Andreas Struengmann & family,11.0,Germany,pharmaceuticals,200,71.0,Healthcare
Thomas Struengmann & family,11.0,Germany,pharmaceuticals,200,71.0,Healthcare
Rodolphe Saadé & family,10.9,France,shipping,203,51.0,Logistics
Dilip Shanghvi,10.9,India,pharmaceuticals,203,65.0,Healthcare
Tom & Judy Love,10.8,United States,retail & gas stations,205,83.0,Fashion & Retail
Anthony Pratt,10.8,Australia,manufacturing,205,60.0,Manufacturing
Wang Laisheng,10.8,China,electronics components,205,56.0,Technology
Gianluigi & Rafaela Aponte,10.7,Switzerland,Shipping,208,80.0,Logistics
Wang Laichun,10.7,China,electronics components,208,53.0,Technology
Chen Jianhua,10.6,China,chemicals,210,50.0,Manufacturing
Leng Youbin,10.6,China,infant formula,210,52.0,Food & Beverage
Charles Schwab,10.6,United States,discount brokerage,210,83.0,Finance & Investments
Li Zhenguo & family,10.5,China,solar wafers and modules,213,53.0,Manufacturing
Sunil Mittal & family,10.5,India,telecom,213,63.0,Telecom
Melker Schorling & family,10.5,Sweden,investments,213,73.0,Finance & Investments
Cai Kui,10.4,China,real estate,216,58.0,Real Estate
John Fredriksen,10.4,Cyprus,shipping,216,76.0,Logistics
Qi Shi & family,10.4,China,financial information,216,51.0,Technology
"Chase Coleman, III.",10.3,United States,investments,219,45.0,Finance & Investments
Hui Wing Mau,10.3,Hong Kong,real estate,219,70.0,Real Estate
"Edward Johnson, III.",10.3,United States,money management,219,90.0,Finance & Investments
Liu Hanyuan,10.3,China,agribusiness,219,57.0,Food & Beverage
Larry Xiangdong Chen,10.2,China,education,223,49.0,Service
Philip Anschutz,10.1,United States,investments,224,81.0,Finance & Investments
Dietmar Hopp & family,10.1,Germany,software,224,80.0,Technology
German Khan,10.1,Russia,"oil, banking, telecom",224,59.0,Energy
Li Ge,10.1,United States,pharmaceutical ingredients,224,54.0,Healthcare
Jay Chaudhry,10.0,United States,security software,228,61.0,Technology
Eric Wittouck,10.0,Belgium,investments,228,74.0,Finance & Investments
Carl Cook,9.9,United States,medical devices,230,58.0,Healthcare
Jan Koum,9.9,United States,WhatsApp,230,45.0,Technology
"Herbert Kohler, Jr. & family",9.8,United States,plumbing fixtures,232,82.0,Manufacturing
Tobi Lutke,9.8,Canada,e-commerce,232,40.0,Technology
James Dyson,9.7,United Kingdom,vacuums,234,73.0,Manufacturing
Mat Ishbia,9.7,United States,★,234,41.0,Finance & Investments
Savitri Jindal & family,9.7,India,steel,234,71.0,Metals & Mining
Friedhelm Loh,9.7,Germany,manufacturing,234,74.0,Manufacturing
Iskander Makhmudov,9.7,Russia,"mining, metals, machinery",234,57.0,Metals & Mining
Stefano Pessina,9.7,Italy,drugstores,234,79.0,Fashion & Retail
Quek Leng Chan,9.7,Malaysia,"banking, property",234,79.0,Diversified
Israel Englander,9.6,United States,hedge funds,241,72.0,Finance & Investments
Charles Ergen,9.6,United States,satellite TV,241,68.0,Media & Entertainment
Jim Pattison,9.6,Canada,diversified,241,92.0,Diversified
Yao Liangsong,9.6,China,furniture,241,56.0,Manufacturing
David Geffen,9.5,United States,"movies, record labels",245,78.0,Media & Entertainment
Yeung Kin-man,9.5,Hong Kong,electronics,245,57.0,Manufacturing
Ding Shizhong & family,9.4,China,sports apparel,247,50.0,Fashion & Retail
Harold Hamm & family,9.4,United States,oil & gas,247,75.0,Energy
Jim Kennedy,9.4,United States,"media, automotive",247,73.0,Media & Entertainment
Blair Parry-Okeden,9.4,United States,"media, automotive",247,70.0,Media & Entertainment
Ding Shijia,9.3,China,sports apparel,251,57.0,Fashion & Retail
Kim Beom-su,9.3,South Korea,online services,251,55.0,Technology
Ian & Richard Livingstone,9.3,United Kingdom,real estate,251,58.0,Real Estate
Sun Hongbin,9.3,United States,real estate,251,58.0,Real Estate
Alberto Bailleres Gonzalez & family,9.2,Mexico,mining,255,89.0,Metals & Mining
Massimiliana Landini Aleotti & family,9.1,Italy,pharmaceuticals,256,78.0,Healthcare
Lu Xiangyang,9.1,China,"automobiles, batteries",256,58.0,Automotive
Wolfgang Marguerre & family,9.1,Germany,pharmaceuticals,256,79.0,Healthcare
David Sun,9.1,United States,computer hardware,256,69.0,Technology
John Tu,9.1,United States,computer hardware,256,79.0,Technology
Guillaume Pousaz,9.0,Switzerland,fintech,262,39.0,Finance & Investments
Viktor Vekselberg,9.0,Russia,"metals, energy",262,63.0,Energy
Jerry Jones,8.9,United States,Dallas Cowboys,264,78.0,Sports
Michael Otto,8.9,Germany,"retail, real estate",264,77.0,Fashion & Retail
Steven Rales,8.9,United States,manufacturing,264,70.0,Manufacturing
Sarath Ratanavadi,8.9,Thailand,energy,264,55.0,Energy
Tse Ping,8.9,China,pharmaceuticals,264,69.0,Healthcare
David Cheriton,8.8,Canada,Google,269,70.0,Technology
Xavier Niel,8.8,France,"internet, telecom",269,53.0,Telecom
August von Finck,8.8,Germany,investments,269,91.0,Finance & Investments
Zong Qinghou,8.8,China,beverages,269,75.0,Food & Beverage
Benu Gopal Bangur,8.7,India,cement,274,89.0,Manufacturing
Sam Bankman-Fried,8.7,United States,cryptocurrency,274,29.0,Finance & Investments
Cheng Xue,8.7,China,soy sauce,274,51.0,Food & Beverage
Graeme Hart,8.7,New Zealand,investments,274,65.0,Finance & Investments
Kjeld Kirk Kristiansen,8.7,Denmark,Lego,274,73.0,Manufacturing
Sofie Kirk Kristiansen,8.7,Denmark,Lego,274,45.0,Manufacturing
Thomas Kirk Kristiansen,8.7,Denmark,Lego,274,42.0,Manufacturing
Lin Bin,8.7,United States,smartphones,274,53.0,Technology
Liu Jincheng & family,8.7,China,lithium batteries,274,56.0,Technology
Shigenobu Nagamori,8.7,Japan,motors,274,76.0,Manufacturing
Carlos Alberto Sicupira & family,8.7,Brazil,beer,274,73.0,Food & Beverage
Agnete Kirk Thinggaard,8.7,Denmark,Lego,274,37.0,Manufacturing
Xu Shihui,8.7,China,"snacks, beverages",274,63.0,Food & Beverage
Ernesto Bertarelli,8.6,Switzerland,"biotech, investments",288,55.0,Healthcare
Leon Black,8.6,United States,private equity,288,69.0,Finance & Investments
Azim Premji,8.6,India,software services,288,75.0,Technology
Andrei Skoch & family,8.6,Russia,steel,288,55.0,Metals & Mining
George Soros,8.6,United States,hedge funds,288,90.0,Finance & Investments
Zheng Shuliang & family,8.6,China,aluminum products,288,75.0,Metals & Mining
Marc Benioff,8.4,United States,business software,294,56.0,Technology
Ann Walton Kroenke,8.4,United States,Walmart,294,72.0,Fashion & Retail
Bubba Cathy,8.3,United States,Chick-fil-A,297,66.0,Food & Beverage
Dan Cathy,8.3,United States,Chick-fil-A,297,68.0,Food & Beverage
Jay Y. Lee,8.3,South Korea,Samsung,297,52.0,Diversified
Pan Dong,8.3,Canada,consumer goods,297,56.0,Fashion & Retail
Hasso Plattner & family,8.3,Germany,software,297,77.0,Technology
Nassef Sawiris,8.3,Egypt,"construction, investments",297,60.0,Construction & Engineering
Kushal Pal Singh,8.3,India,real estate,297,89.0,Real Estate
Stanley Kroenke,8.2,United States,"sports, real estate",304,73.0,Sports
Niels Peter Louis-Hansen,8.2,Denmark,medical devices,304,73.0,Healthcare
Alain Merieux & family,8.2,France,pharmaceuticals,304,83.0,Healthcare
Andreas von Bechtolsheim & family,8.2,Germany,Google,304,65.0,Technology
Diane Hendricks,8.0,United States,roofing,308,74.0,Construction & Engineering
Shahid Khan,8.0,United States,auto parts,308,70.0,Automotive
Nicky Oppenheimer & family,8.0,South Africa,diamonds,308,75.0,Metals & Mining
Anthony Bamford & family,7.9,United Kingdom,construction equipment,311,75.0,Construction & Engineering
Andrew Beal,7.9,United States,"banks, real estate",311,68.0,Finance & Investments
Dmitry Bukhman,7.9,Russia,online games,311,35.0,Media & Entertainment
Igor Bukhman,7.9,Russia,online games,311,39.0,Media & Entertainment
Takahisa Takahara,7.9,Japan,personal care goods,311,59.0,Fashion & Retail
Kei Hoi Pang,7.8,China,real estate,316,55.0,Real Estate
Alexei Kuzmichev,7.8,Russia,"oil, banking, telecom",316,58.0,Energy
John Malone,7.8,United States,cable television,316,80.0,Media & Entertainment
Marijke Mars,7.8,United States,"candy, pet food",316,56.0,Food & Beverage
Pamela Mars,7.8,United States,"candy, pet food",316,60.0,Food & Beverage
Valerie Mars,7.8,United States,"candy, pet food",316,62.0,Food & Beverage
Victoria Mars,7.8,United States,"candy, pet food",316,64.0,Food & Beverage
Giorgio Armani,7.7,Italy,luxury goods,323,86.0,Fashion & Retail
Frederik Paulsen,7.7,Sweden,health care,323,70.0,Healthcare
David Reuben,7.7,United Kingdom,"investments, real estate",323,82.0,Real Estate
Simon Reuben,7.7,United Kingdom,"real estate, investments",323,79.0,Diversified
Alexander Abramov,7.6,Russia,"steel, mining",327,62.0,Metals & Mining
Rinat Akhmetov,7.6,Ukraine,"steel, coal",327,54.0,Metals & Mining
Silvio Berlusconi & family,7.6,Italy,media,327,84.0,Diversified
John Grayken,7.6,Ireland,private equity,327,64.0,Finance & Investments
David Green & family,7.6,United States,retail,327,79.0,Fashion & Retail
George Roberts,7.6,United States,private equity,327,77.0,Finance & Investments
Zhao Yan,7.6,China,biotech,327,54.0,Diversified
Nancy Walton Laurie,7.5,United States,Walmart,334,69.0,Fashion & Retail
Pei Zhenhua,7.5,China,batteries,334,62.0,Energy
Ruan Liping,7.5,Hong Kong,power strips,334,57.0,Manufacturing
Ruan Xueping,7.5,Hong Kong,power strip,334,49.0,Manufacturing
Patrick Soon-Shiong,7.5,United States,pharmaceuticals,334,68.0,Healthcare
Antonia Ax:son Johnson & family,7.4,Sweden,diversified,339,77.0,Diversified
"Ernest Garcia, III.",7.4,United States,used cars,339,38.0,Automotive
George Lucas,7.4,United States,Star Wars,339,76.0,Media & Entertainment
Vicky Safra,7.4,Greece,banking,339,68.0,Finance & Investments
Zhang Jindong,7.4,China,appliance retailer,339,58.0,Fashion & Retail
Laurent Dassault,7.3,France,diversified,344,67.0,Diversified
Thierry Dassault,7.3,France,diversified,344,64.0,Diversified
Marie-Hélène Habert,7.3,France,diversified,344,56.0,Diversified
Henry Kravis,7.3,United States,private equity,344,77.0,Finance & Investments
Lai Meisong,7.3,China,package delivery,344,50.0,Logistics
Sandra Ortega Mera,7.3,Spain,Zara,344,52.0,Fashion & Retail
Pham Nhat Vuong,7.3,Vietnam,diversified,344,52.0,Diversified
David Shaw,7.3,United States,hedge funds,344,70.0,Finance & Investments
Rocco Commisso,7.2,United States,telecom,352,71.0,Telecom
Michael Kadoorie,7.2,Hong Kong,"hotels, energy",352,79.0,Energy
Bernard Marcus,7.2,United States,Home Depot,352,91.0,Fashion & Retail
Manuel Villar,7.2,Philippines,real estate,352,71.0,Real Estate
Christy Walton,7.2,United States,Walmart,352,72.0,Fashion & Retail
Wang Zhenhua,7.2,China,real estate,352,59.0,Real Estate
Carl Bennet,7.1,Sweden,investments,358,69.0,Finance & Investments
Rahel Blocher,7.1,Switzerland,chemicals,358,45.0,Manufacturing
Johann Graf,7.1,Austria,gambling,358,74.0,Gambling & Casinos
Ralph Lauren,7.1,United States,apparel,358,81.0,Fashion & Retail
Li Hua,7.1,China,financial services,358,43.0,Finance & Investments
Magdalena Martullo-Blocher,7.1,Switzerland,chemicals,358,52.0,Manufacturing
Johann Rupert & family,7.1,South Africa,luxury goods,358,70.0,Fashion & Retail
Anthony Wood,7.1,United States,Roku,358,55.0,Technology
Gang Ye,7.1,Singapore,gaming,358,40.0,Media & Entertainment
Igor Altushkin,7.0,Russia,metals,369,50.0,Metals & Mining
Juan Francisco Beckmann Vidal & family,7.0,Mexico,tequila,369,81.0,Food & Beverage
Alexandre Behring,7.0,Brazil,investments,369,54.0,Finance & Investments
Vincent Bolloré & family,7.0,France,investments,369,69.0,Finance & Investments
Gustaf Douglas,7.0,Sweden,investments,369,83.0,Diversified
Terry Gou,7.0,Taiwan,electronics,369,70.0,Technology
"Paul Tudor Jones, II.",7.0,United States,hedge funds,369,66.0,Finance & Investments
Richard Kinder,7.0,United States,pipelines,369,76.0,Energy
Ludwig Merckle,7.0,Germany,pharmaceuticals,369,56.0,Finance & Investments
Stephen Ross,7.0,United States,real estate,369,80.0,Real Estate
Eli Broad,6.9,United States,investments,380,87.0,Finance & Investments
Jim Davis & family,6.9,United States,New Balance,380,77.0,Manufacturing
Guo Guangchang,6.9,China,conglomerate,380,54.0,Diversified
Robert Kraft,6.9,United States,New England Patriots,380,79.0,Sports
Murali Divi & family,6.8,India,pharmaceuticals,384,70.0,Healthcare
Huang Chulong,6.8,Canada,real estate,384,62.0,Real Estate
Li Jianquan & family,6.8,Hong Kong,consumer products,384,64.0,Healthcare
Shi Yonghong & family,6.8,China,restaurants,384,52.0,Food & Beverage
Wee Cho Yaw,6.8,Singapore,banking,384,92.0,Finance & Investments
Erich Wesjohann & family,6.8,Germany,poultry genetics,384,75.0,Food & Beverage
Aloys Wobben,6.8,Germany,wind turbines,384,69.0,Energy
Micky Arison,6.7,United States,Carnival Cruises,391,71.0,Service
Jean-Michel Besnier,6.7,France,cheese,391,53.0,Food & Beverage
Marie Besnier Beauvalot,6.7,France,cheese,391,40.0,Food & Beverage
Kwon Hyuk-bin,6.7,South Korea,online games,391,47.0,Technology
Fredrik Lundberg,6.7,Sweden,"real estate, investments",391,69.0,Real Estate
Hiroshi Mikitani,6.7,Japan,online retail,391,56.0,Fashion & Retail
Dmitry Rybolovlev,6.7,Russia,fertilizer,391,54.0,Manufacturing
Reinhold Schmieding,6.7,United States,medical devices,391,66.0,Healthcare
Francis Choi,6.6,Hong Kong,real estate,400,73.0,Real Estate
Bruce Kovner,6.6,United States,hedge funds,400,76.0,Finance & Investments
Wang Wenjing,6.6,China,business software,400,56.0,Technology
Zeng Fangqin,6.6,China,smartphone components,400,55.0,Technology
